Feature,Importance
num__OverallQual,0.548906702788284
num__GrLivArea,0.1550399582020378
num__TotalBsmtSF,0.03792651221988189
num__BsmtFinSF1,0.036965063969442824
num__GarageArea,0.02360945031471822
num__1stFlrSF,0.022368837630339207
num__TotRmsAbvGrd,0.015964397335123767
num__LotArea,0.013307346211869847
num__YearBuilt,0.012492562446008037
num__GarageCars,0.01059183650504934
cat__BsmtQual_Ex,0.006657557507183015
num__GarageYrBlt,0.00609700611670282
num__YearRemodAdd,0.005352266393090048
num__OpenPorchSF,0.005105952753768644
num__LotFrontage,0.004810019278461669
num__BsmtUnfSF,0.004506412487814957
num__2ndFlrSF,0.004116059779083665
cat__ExterQual_Ex,0.004027471011093624
num__WoodDeckSF,0.003802503296187551
num__OverallCond,0.003721520390542903
num__MasVnrArea,0.0034946580954909176
cat__LotShape_Reg,0.0030473486150677177
num__FullBath,0.0024204812861692467
num__MoSold,0.0023049959276009854
cat__KitchenQual_Gd,0.0022138234727194306
num__Fireplaces,0.0021717077825799225
cat__BsmtQual_Gd,0.002073108603153851
cat__BsmtExposure_Gd,0.0020256761303788697
num__MSSubClass,0.0017557815317341668
cat__KitchenQual_Ex,0.0017143463181139875
cat__ExterQual_Gd,0.0016249384988555207
cat__FireplaceQu_None,0.0015489304984764017
num__KitchenAbvGr,0.0015379983655082331
num__YrSold,0.0014249327711213966
cat__GarageType_Detchd,0.0013978907608895165
cat__BsmtExposure_No,0.0012478236255716426
num__BedroomAbvGr,0.001202968417419395
num__HalfBath,0.0011307916141918295
cat__GarageType_Attchd,0.0010388883237337034
cat__MSZoning_RM,0.0010388662407915736
cat__BsmtFinType1_GLQ,0.0010333405881752626
num__BsmtFullBath,0.0010057192035484363
cat__ExterQual_TA,0.0009558185359378347
cat__CentralAir_N,0.0009534897494761245
cat__MSZoning_RL,0.0009136068088694933
cat__FireplaceQu_Gd,0.0008465860852140724
cat__GarageFinish_Unf,0.0008361061214615567
cat__SaleCondition_Normal,0.0007857222581979826
cat__CentralAir_Y,0.0007742598767236297
cat__Neighborhood_Crawfor,0.0007606190515941905
cat__SaleCondition_Partial,0.0007358474018578849
cat__MasVnrType_Stone,0.0006641752312088734
cat__KitchenQual_TA,0.0006493670752487195
cat__GarageFinish_RFn,0.000634427524185371
num__ScreenPorch,0.0006191358132422955
cat__SaleType_New,0.0006138603554490942
cat__GarageFinish_Fin,0.0005994508906059658
cat__HouseStyle_2Story,0.0005793570161132584
cat__Neighborhood_StoneBr,0.0005554369328225088
cat__LotShape_IR1,0.000537853080397006
cat__FireplaceQu_Ex,0.0004901384038109012
cat__SaleType_WD,0.00046276741483678357
cat__GarageQual_TA,0.0004388280461990545
cat__Exterior2nd_VinylSd,0.0004331130757228785
cat__Functional_Typ,0.00043303620480231647
num__BsmtFinSF2,0.000413495702278908
cat__LotConfig_CulDSac,0.000401116743114628
cat__MasVnrType_None,0.00040095247703557873
num__EnclosedPorch,0.00038142488443812164
cat__HeatingQC_Ex,0.00036535269349142926
cat__FireplaceQu_TA,0.0003648093152493234
cat__SaleCondition_Family,0.00036114838820222925
cat__RoofStyle_Hip,0.00035171252948800456
cat__Exterior1st_BrkFace,0.00035116075430163254
cat__RoofStyle_Gable,0.0003469068043638012
cat__LotConfig_Inside,0.00034539782304782656
cat__HeatingQC_TA,0.00034488350076496333
cat__MasVnrType_BrkFace,0.0003448729108081903
cat__Exterior1st_VinylSd,0.00034083910774644925
cat__Exterior1st_MetalSd,0.0003299436891452418
cat__BsmtQual_TA,0.00030177316559717505
cat__Neighborhood_NAmes,0.000301144351518597
cat__Exterior2nd_MetalSd,0.00030076610129679
cat__Neighborhood_NridgHt,0.00029469056729329514
cat__BldgType_1Fam,0.0002872748589953611
cat__GarageCond_TA,0.00028366727644638887
cat__BsmtFinType1_ALQ,0.00026721286099472974
cat__Foundation_PConc,0.0002566413779165151
cat__LandContour_Lvl,0.00025236091698714244
cat__SaleCondition_Abnorml,0.0002460362860174741
cat__BsmtCond_TA,0.00024598539999130884
cat__LotConfig_Corner,0.0002453905527193574
cat__Alley_None,0.00024195517986143122
cat__HouseStyle_1.5Fin,0.00024123823390374838
cat__BsmtExposure_Av,0.00022473537720805613
cat__Neighborhood_Timber,0.00022297897347589514
cat__Foundation_CBlock,0.0002196124050017684
num__3SsnPorch,0.00021898203951063386
cat__BsmtCond_Gd,0.00021759669271799199
cat__Neighborhood_NoRidge,0.00021626898855698677
cat__BsmtFinType1_Unf,0.00021505237195353254
cat__ExterCond_TA,0.00020098417073601625
cat__ExterCond_Gd,0.00020069285697681298
cat__Condition1_Norm,0.00019963457600958169
cat__Neighborhood_CollgCr,0.0001959234851064255
cat__LandSlope_Mod,0.00019252951048593056
cat__HeatingQC_Gd,0.0001920611580831947
cat__Condition1_Artery,0.00019199484462797695
cat__Neighborhood_Somerst,0.00019141258261506163
cat__Fence_None,0.00018768451400311245
cat__Exterior2nd_HdBoard,0.000186765458929157
cat__Functional_Mod,0.0001858893251142078
cat__LotShape_IR2,0.00017978829112836266
cat__LandSlope_Gtl,0.00017445902260038922
cat__Neighborhood_Edwards,0.00016763785860335524
cat__LandContour_HLS,0.00016521170762415885
cat__Exterior2nd_Wd Shng,0.00016198733241503614
cat__Exterior1st_Wd Sdng,0.0001565534521711785
cat__Exterior2nd_CmentBd,0.00015189005396457392
cat__Exterior2nd_Wd Sdng,0.00015058377131416643
cat__Exterior1st_Stucco,0.0001491010701708195
cat__BsmtExposure_Mn,0.0001470786287655514
cat__GarageType_BuiltIn,0.00014440305861452708
cat__HouseStyle_1Story,0.0001430984681327284
cat__Exterior2nd_Plywood,0.00013847871561543883
cat__Neighborhood_OldTown,0.00013440324743936049
num__BsmtHalfBath,0.00013061490975765
cat__Neighborhood_ClearCr,0.00012834236734015828
cat__Exterior1st_CemntBd,0.00012346276264214496
cat__MSZoning_C (all),0.00012243309513486036
cat__Exterior1st_HdBoard,0.00011894585535174591
cat__BsmtFinType1_Rec,0.00011683434173891181
